"subject" "activity" "dataFeatures" "NA"
1 -0.36120533 6 -0.26812111
1 -0.27706634 6 -0.68409659
1 -0.23910256 6 -0.096904391
1 -0.16642569 6 -0.11935251
1 -0.083287063 6 0.010297707
1 -0.066238871 6 0.07922905
1 -0.041701306 4 0.17510248
1 0.013903671 4 0.15329608
1 0.019016151 6 -0.0070373566
1 0.13046118 3 -0.05499692
1 0.14085877 2 -0.068261729
1 0.14450396 4 0.18926326
1 0.15439416 3 0.0016045166
1 0.15618659 1 -0.049614593
1 0.15851651 2 0.0042561454
1 0.16085356 2 -0.067771871
1 0.1669136 3 -0.03373288
1 0.1686636 3 0.052146924
1 0.17993953 2 -0.06017359
1 0.1801943 1 -0.017796846
1 0.18047854 6 -0.042535659
1 0.18359029 2 -0.020857894
1 0.18360372 2 -0.076558729
1 0.18594631 3 -0.011803726
1 0.18944069 2 -0.0027834942
1 0.1902231 1 -0.038897051
1 0.19239073 3 0.015226187
1 0.19737448 2 -0.023080695
1 0.20201055 1 -0.0090379452
1 0.20297773 2 0.0074192704
1 0.20356167 1 -0.03050523
1 0.2038278 3 -0.0001716803
1 0.20530739 1 -0.0085082782
1 0.20535149 3 -0.0038073578
1 0.20714979 3 -0.0034351025
1 0.20876832 3 0.030679246
1 0.20896421 6 -0.022742569
1 0.21070047 3 -0.005968762
1 0.21448125 1 0.0099387454
1 0.21453672 1 -0.032810366
1 0.21462352 2 -0.026791078
1 0.21524532 2 -0.032628002
1 0.21537091 3 -0.045299636
1 0.21800676 2 -0.074887013
1 0.22003494 1 -0.0078731854
1 0.22009445 1 -0.021543101
1 0.22172674 1 -0.02437697
1 0.22184689 4 0.034107675
1 0.22229785 1 -0.018659683
1 0.22247974 1 -0.0062025184
1 0.22251789 1 -0.015582132
1 0.22259283 3 -0.02449569
1 0.22442754 1 -0.031464353
1 0.22588802 2 -0.021954576
1 0.22622757 2 -0.053718943
1 0.22667958 1 -0.036078863
1 0.22966134 3 0.026781905
1 0.22969556 2 -0.05216571
1 0.23003885 1 -0.022024777
1 0.2303099 2 0.0021737117
1 0.23033751 2 -0.021806697
1 0.23124563 2 -0.0072225043
1 0.23145946 2 -0.013340312
1 0.23179921 3 -0.0075220252
1 0.23285893 1 0.0060932862
1 0.23398475 1 0.0077570244
1 0.2346659 1 -0.049547719
1 0.23528441 3 -0.014570467
1 0.23715407 4 0.0078251224
1 0.23826921 2 0.00012396818
1 0.23841102 1 -0.023196389
1 0.23887121 1 0.0076402593
1 0.23948442 1 -0.017132916
1 0.23995826 1 -0.0097107196
1 0.24003888 1 -0.017441822
1 0.2408087 1 -0.00050888361
1 0.24389788 6 -0.027628987
1 0.24404031 2 -0.030303589
1 0.24608919 1 -0.016175423
1 0.24748304 2 0.00056547901
1 0.24898582 1 -0.053664698
1 0.25012584 1 -0.02268563
1 0.25025528 2 0.0077234474
1 0.25079554 3 -0.0034577794
1 0.25242505 1 0.0062773455
1 0.25244236 2 -0.015507321
1 0.25486723 1 0.0038147234
1 0.25546822 1 0.021219063
1 0.25584075 1 -0.064550029
1 0.256935 1 -0.010577401
1 0.25745284 2 -0.04335044
1 0.2574765 6 -0.41386534
1 0.2591151 6 -0.017985103
1 0.25960382 2 -0.018097161
1 0.25994947 3 -0.022679831
1 0.26001212 2 -0.030019182
1 0.26034404 2 -0.03367069
1 0.26076161 5 -0.035370696
1 0.26097364 3 0.0051912105
1 0.26108077 1 -0.015635621
1 0.26297624 4 -0.00028737053
1 0.26439312 2 0.0091204488
1 0.2645391 4 -0.019722322
1 0.26468173 1 -0.0085919266
1 0.26537379 3 -0.017156211
1 0.26580577 5 -0.032762393
1 0.26682128 1 -0.018607495
1 0.26688016 3 -0.0023073023
1 0.26749864 3 -0.018319479
1 0.26760132 2 -0.032814137
1 0.26865095 6 0.016430154
1 0.26963511 4 -0.0089314391
1 0.27052 1 -0.016289773
1 0.27090823 4 -0.014412968
1 0.27147742 2 -0.030746091
1 0.27194632 1 0.0038772773
1 0.27239664 5 -0.023659196
1 0.27259354 4 -0.0057626503
1 0.27278629 2 -0.034461224
1 0.27302712 6 -0.010196757
1 0.27305549 1 -0.018221127
1 0.2731084 4 0.0065181116
1 0.2732136 2 -0.012546631
1 0.27324282 1 0.0060649186
1 0.27328142 4 -0.011127209
1 0.27330795 1 -0.042960517
1 0.2733796 4 -0.0099401064
1 0.27368218 5 -0.019975668
1 0.27380646 5 -0.019735938
1 0.27386865 2 -0.011459277
1 0.27394057 4 -0.013147584
1 0.27394901 5 -0.021795449
1 0.27395574 3 -0.022899292
1 0.27425493 2 -0.028953751
1 0.27426151 4 -0.012264695
1 0.27436388 5 -0.023361777
1 0.2745262 5 -0.025134082
1 0.27475366 5 -0.020102285
1 0.27526076 5 -0.016105674
1 0.27554943 4 -0.014115159
1 0.27556818 5 -0.016979698
1 0.27559191 4 -0.013962574
1 0.27564442 4 -0.015470231
1 0.2756763 5 -0.021264234
1 0.27573444 5 -0.01801884
1 0.27575263 6 -0.016788627
1 0.27575308 4 -0.010254163
1 0.27588359 6 -0.016150309
1 0.27603949 6 -0.017357172
1 0.2761599 4 -0.01332633
1 0.27622817 5 -0.021441302
1 0.27623973 1 -0.029638413
1 0.27635864 4 -0.016138088
1 0.27652699 6 -0.0168191
1 0.27655526 6 -0.01786855
1 0.27662877 5 -0.016569655
1 0.27664268 5 -0.016755348
1 0.27672941 6 -0.017209548
1 0.27676588 6 -0.018060289
1 0.27682826 4 -0.016123297
1 0.27683965 6 -0.02714766
1 0.27687455 5 -0.018606634
1 0.27688027 5 -0.012721805
1 0.2769154 1 -0.03548621
1 0.27714164 6 -0.01806797
1 0.27715238 5 -0.017983328
1 0.27717497 5 -0.014712802
1 0.27719877 5 -0.01009785
1 0.27725766 4 -0.014249297
1 0.27727452 4 -0.011693149
1 0.27729342 5 -0.021750698
1 0.27734354 5 -0.01565033
1 0.27743247 5 -0.030488303
1 0.27746121 4 -0.017491016
1 0.27750957 4 -0.016333594
1 0.27756171 5 -0.014318487
1 0.27763311 3 -0.03726758
1 0.27771111 2 -0.0089315038
1 0.27773106 5 -0.018210718
1 0.27778196 4 -0.015873588
1 0.27783021 6 -0.017684054
1 0.27790646 4 -0.017143471
1 0.27796276 5 -0.015040946
1 0.27798405 4 -0.017867041
1 0.27800654 6 -0.01780317
1 0.27812334 6 -0.017146303
1 0.27831632 6 -0.018048727
1 0.27832678 4 -0.01757272
1 0.27837321 6 -0.020560964
1 0.27839415 4 -0.018437222
1 0.27841883 5 -0.016410568
1 0.278426 5 -0.017091944
1 0.27843225 4 -0.019654302
1 0.278457 5 -0.020414761
1 0.2784596 1 -0.023397895
1 0.27853812 4 -0.016173432
1 0.2785991 4 -0.019910142
1 0.27866687 4 -0.017999434
1 0.27872042 5 -0.014508176
1 0.27873199 4 -0.018106346
1 0.27884783 5 -0.01531619
1 0.27885089 6 -0.016544181
1 0.27890115 6 -0.017814424
1 0.27899267 5 -0.014531029
1 0.27903686 6 -0.016669682
1 0.27903836 5 -0.014800378
1 0.27905615 4 -0.01626097
1 0.2790872 4 -0.019083242
1 0.27917394 5 -0.026200646
1 0.27918273 2 -0.036965677
1 0.2792002 5 -0.017714427
1 0.27920345 5 -0.023020143
1 0.2792417 5 -0.017290162
1 0.27930326 4 -0.020521383
1 0.27937115 6 -0.017644953
1 0.27938002 5 -0.01543831
1 0.27942505 5 -0.014947411
1 0.27945388 5 -0.019640776
1 0.2795534 4 -0.017001147
1 0.27957476 6 -0.017275722
1 0.2795809 2 -0.029329514
1 0.27965306 5 -0.019467156
1 0.27970111 5 -0.015808416
1 0.27972834 6 -0.01600381
1 0.27997806 5 -0.015505193
1 0.2799976 4 -0.019484036
1 0.2801349 5 -0.013916951
1 0.2802064 6 -0.01839626
1 0.28051914 1 -0.018843872
1 0.28056095 1 -0.011424653
1 0.28058569 5 -0.0099602983
1 0.28068106 2 -0.0047294571
1 0.28111697 1 0.0073702798
1 0.28134949 3 -0.0007098312
1 0.28150539 4 -0.018434859
1 0.28151325 1 -0.040800898
1 0.28155172 3 -0.016110289
1 0.2816654 6 -0.017570074
1 0.28171549 5 -0.011910678
1 0.28182774 6 -0.018626474
1 0.28202074 6 -0.017589649
1 0.28202157 1 -0.037696218
1 0.28347732 6 -0.0075244582
1 0.28375642 1 -0.025635447
1 0.28384717 1 -0.0030528987
1 0.28431748 1 -0.027205815
1 0.28451133 5 -0.0085448131
1 0.28521305 3 -0.020202459
1 0.28526329 6 -0.008888811
1 0.2852744 5 -0.0045132061
1 0.28541537 2 0.016833852
1 0.28562929 1 -0.033009184
1 0.2860648 3 0.016799817
1 0.28618516 1 0.00078622212
1 0.28656754 1 0.020619282
1 0.28703017 1 -0.02723993
1 0.28725164 4 -0.037455064
1 0.28772456 1 -0.038921811
1 0.28809417 6 -0.022759306
1 0.28858451 5 -0.020294171
1 0.28930934 2 -0.039572283
1 0.28972747 1 0.01534272
1 0.28981703 5 -0.010751748
1 0.29010859 3 0.032174046
1 0.29075969 4 -0.02403476
1 0.29097148 1 -0.027810418
1 0.29230775 6 -0.00692865
1 0.29261951 2 -0.013621795
1 0.29272439 1 -0.0021398385
1 0.29286452 1 -0.040265291
1 0.29341097 2 -0.018714518
1 0.29542323 1 0.0030962138
1 0.29569289 2 -0.017291
1 0.29644415 1 0.014086002
1 0.29668098 1 -0.04271512
1 0.29672786 1 -0.0079559289
1 0.29794572 5 0.027093908
1 0.29811757 4 -0.035646628
1 0.29855414 1 0.00079445569
1 0.29942617 2 -0.010201837
